Rule Name,Total Commands,Triggered,Bypassed,Errors,Detection Rate (%)
Crontab_Enumeration,368,31,329,0,8.61
Crontab_Enumeration_checklog,40,0,0,31,0.0
Decode_Base64_Encoded_Text,166,66,92,0,41.77
File_and_Directory_Discovery,188,115,65,0,63.89
Linux_Base64_Encoded_Pipe_to_Shell,268,53,207,0,20.38
Linux_Crypto_Mining_Indicators,195,30,73,83,29.13
Linux_Shell_Pipe_to_Shell,149,65,74,1,46.76
Local_Groups_Discovery_-_Linux,269,115,146,0,44.06
Local_System_Accounts_Discovery_-_Linux,226,86,132,0,39.45
OMIGOD_SCX_RunAsProvider_ExecuteShellCommand,319,105,206,0,33.76
OS_Architecture_Discovery_Via_Grep,277,59,210,0,21.93
Remove_Scheduled_Cron_Task,368,135,225,0,37.5
Remove_Scheduled_Cron_Task_checklog,369,16,1,343,94.12
Shell_Invocation_via_Apt,173,165,0,0,100.0
Ufw_Force_Stop_Using_Ufw-Init,254,233,13,0,94.72
TOTAL,3629,1274,1773,458,41.81
